Reactant_1,Reactant_2,Product,Temp_Min,Temp_Max,Pressure_Min,Pressure_Max,Best_Catalyst,Catalyst_Type,Performance,Selectivity,Notes,,,,,,,#NAME?
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Sodium chloride,Inorganic Salt,85,92,"Moderate yield, good selectivity due to its neutral nature.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Potassium chloride,Inorganic Salt,80,90,Similar to NaCl but slightly lower yield due to weaker ionic interaction.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Lithium bromide,Inorganic Salt,88,94,High yield and selectivity due to strong bromide ion interaction.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Sodium bromide,Inorganic Salt,87,93,"Comparable to LiBr, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Potassium iodide,Inorganic Salt,75,85,Lower yield due to iodide's bulkiness and weaker interaction.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Ammonium acetate,Organic Salt,70,80,"Moderate performance, acetate ion may interfere with the reaction.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Calcium carbonate,Inorganic Salt,65,75,Low yield due to poor solubility and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Sodium sulfate,Inorganic Salt,60,70,Poor performance due to sulfate's strong ionic nature.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Magnesium carbonate,Inorganic Salt,68,78,"Similar to CaCO₃, slightly better due to smaller cation size.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Copper,Inorganic Salt,72,82,"Moderate yield, Cu²⁺ may act as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Iron,Inorganic Salt,78,88,Good yield and selectivity due to Fe³⁺'s strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Zinc oxide,Metal Oxide,82,90,High yield due to ZnO's amphoteric nature.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Potassium bromide,Inorganic Salt,84,91,"Comparable to NaBr, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Tetrafluoroborate,Inorganic Salt,50,60,Poor performance due to weak interaction with reactants.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Calcium bromide,Inorganic Salt,86,92,High yield due to strong bromide ion interaction.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Lead,Organic Salt,55,65,Low yield due to toxicity and poor solubility.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Copper,Organic Salt,74,84,"Moderate yield, acetate ion may interfere with the reaction.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Barium sulfate,Inorganic Salt,58,68,Poor performance due to very low solubility.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Potassium sulfate,Inorganic Salt,62,72,"Similar to Na₂SO₄, slightly better due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Nickel chloride,Inorganic Salt,76,86,Good yield due to Ni²⁺'s Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Magnesium chloride,Inorganic Salt,80,89,High yield due to Mg²⁺'s strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Silver nitrate,Inorganic Salt,90,95,Excellent yield and selectivity due to Ag⁺'s strong interaction.,,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,60,90,1,6,Tetrabutylammonium iodide,Organic Salt,98,87,"Moderate yield, bulky cation may hinder reaction.",,,,,,,
"1,2-Dibromoethane",Sodium carbonate,Ethyl carbonate,108,138,1,6,Sodium iodide,Inorganic Salt,77,86,"Slightly better than KI due to smaller cation size, but still limited by iodide's bulkiness.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,60,100,1,6,Sodium acetate,Inorganic Salt,85,92,Good yield and selectivity due to mild basicity and solubility.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,65,105,1,6,Potassium acetate,Inorganic Salt,83,90,"Similar to NaOAc, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,70,110,1,6,Zinc acetate,Metal Salt,88,94,High yield due to Zn²⁺'s Lewis acidity and acetate coordination.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,75,115,1,6,Aluminum chloride,Lewis Acid,78,85,"Good yield, but lower selectivity due to strong Lewis acidity.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,80,120,1,6,Ferric chloride,Lewis Acid,80,88,"Strong Lewis acid, good yield and selectivity.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,85,125,1,6,Copper,Metal Salt,82,90,"Moderate yield, Cu²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,90,130,1,6,Tin,Lewis Acid,75,82,"Strong Lewis acid, but lower yield due to over-reactivity.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,95,135,1,6,Titanium,Metal Alkoxide,70,78,"Moderate performance, sensitive to moisture.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,100,140,1,6,Sulfuric acid,Strong Acid,65,72,Poor selectivity due to harsh acidic conditions.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,105,145,1,6,Hydrochloric acid,Strong Acid,60,68,Low yield and selectivity due to strong acidity.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,110,150,1,6,Nitric acid,Strong Acid,58,65,Poor performance due to oxidative side reactions.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,115,155,1,6,Phosphoric acid,Weak Acid,72,80,"Moderate yield, better selectivity than strong acids.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,120,160,1,6,Magnesium acetate,Metal Salt,84,91,High yield due to Mg²⁺'s Lewis acidity and acetate coordination.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,125,165,1,6,Bismuth,Metal Oxide,76,84,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,130,170,1,6,Manganese,Metal Salt,79,86,"Good yield, Mn²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,135,175,1,6,Lithium acetate,Inorganic Salt,81,89,High yield due to small cation size and good solubility.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,140,180,1,6,Sodium triflate,Inorganic Salt,87,93,Excellent yield and selectivity due to triflate's strong electron-withdrawing nature.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,145,185,1,6,Ruthenium,Metal Salt,74,82,"Moderate yield, Ru³⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,150,190,1,6,Palladium,Metal Salt,90,95,"Excellent yield and selectivity, Pd²⁺ is highly effective.",,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,155,195,1,6,Silver triflate,Metal Salt,92,96,Outstanding yield and selectivity due to Ag⁺'s strong interaction.,,,,,,,
"1,2-Dibromoethane",Acetic anhydride,Acetate ester,160,200,1,6,Nickel,Metal Salt,80,88,"Good yield, Ni²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Sodium carbonate,Inorganic Base,85,92,Good yield and selectivity due to mild basicity and solubility.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",50,90,1,6,Potassium carbonate,Inorganic Base,83,90,"Similar to Na₂CO₃, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",55,95,1,6,Sodium hydroxide,Strong Base,78,85,High yield but lower selectivity due to strong basicity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Triethylamine,Organic Base,75,82,"Moderate yield, good selectivity due to mild basicity.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",65,105,1,6,Diethylamine,Organic Base,72,80,"Similar to triethylamine, slightly lower due to smaller size.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",50,90,1,6,Sodium acetate,Inorganic Salt,80,88,"Moderate yield, acts as a mild base and stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Potassium hydroxide,Strong Base,76,84,"Similar to NaOH, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",65,105,1,6,Aluminum chloride,Lewis Acid,70,78,"Moderate yield, but lower selectivity due to strong Lewis acidity.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Magnesium sulfate,Inorganic Salt,65,72,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",55,95,1,6,Zinc chloride,Lewis Acid,74,82,"Moderate yield, Zn²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",70,110,1,6,Sodium sulfate,Inorganic Salt,60,68,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Copper,Metal Salt,77,85,"Good yield, Cu⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",65,105,1,6,Potassium iodide,Inorganic Salt,68,75,Low yield due to iodide's bulkiness and weak interaction.,,,,,,,
